Month,province,hotspot_count,NDVI,NDMI
2017-08,Chiang Mai,0.0,0.37022553710989486,0.20729921454963068
2017-08,Mae Hong Son,0.0,0.28432632281146,0.20142759060854845
2017-08,Nan,0.0,0.45482272580977934,0.24283539920072844
2017-08,Uttaradit,0.0,0.5282507104551051,0.26338339971493063
2017-09,Chiang Mai,0.0,0.5622533234481569,0.23138981501773562
2017-09,Mae Hong Son,0.0,0.5579737448121267,0.24969061097026843
2017-09,Nan,15.0,0.6285798455637842,0.2663195469421956
2017-09,Uttaradit,0.0,0.5950666191704882,0.2561465464943023
2017-10,Chiang Mai,0.0,0.6316943694631871,0.2436170877619342
2017-10,Mae Hong Son,0.0,0.659494051799144,0.2684431745550866
2017-10,Nan,9.0,0.6683258363661563,0.2632988034356478
2017-10,Uttaradit,0.0,0.6919486677591348,0.2511880297464204
2017-11,Chiang Mai,10.105882352941176,0.6892891118389721,0.22701217049210648
2017-11,Mae Hong Son,0.0,0.7475392713864876,0.269068229748115
2017-11,Nan,0.0,0.7738150512460572,0.2562767711105868
2017-11,Uttaradit,53.0,0.7235521220985632,0.21451786172234624
2017-12,Chiang Mai,119.72549019607843,0.6284897809585702,0.1855939192584075
2017-12,Mae Hong Son,17.270588235294117,0.7492777741904139,0.24164393348748395
2017-12,Nan,50.0,0.7433883061037807,0.21238870352948078
2017-12,Uttaradit,212.89411764705883,0.6876390988952689,0.15768200655210374
2018-01,Chiang Mai,217.6745098039216,0.6533981570915665,0.15608965055733573
2018-01,Mae Hong Son,30.901960784313726,0.7021219743527841,0.2007379259493104
2018-01,Nan,133.86666666666667,0.7029071667331788,0.16950084961763742
2018-01,Uttaradit,155.34117647058824,0.6481269375398996,0.11445227667557548
2018-02,Chiang Mai,1714.2156862745098,0.6528498572890911,0.11610884631583433
2018-02,Mae Hong Son,585.0431372549018,0.7064239429341236,0.15680565438375918
2018-02,Nan,433.4627450980392,0.6438545092872133,0.12521182763051047
2018-02,Uttaradit,250.0039215686275,0.5786812039029989,0.05387081322742699
2018-03,Chiang Mai,1088.9098039215685,0.603923375272264,0.07528285654388016
2018-03,Mae Hong Son,3278.9882352941167,0.5965033655649913,0.06432405022159156
2018-03,Nan,1162.4509803921565,0.62900585307209,0.11017024170974483
2018-03,Uttaradit,567.9843137254901,0.561078733838688,0.05779551827320549
2018-04,Chiang Mai,1143.2235294117643,0.6148342018308189,0.0981342150070309
2018-04,Mae Hong Son,1935.6196078431376,0.5788764706633074,0.07491434513508721
2018-04,Nan,1932.450980392158,0.6743108682089616,0.15093082743862976
2018-04,Uttaradit,273.79215686274506,0.6091512809903803,0.1004697484823999
2018-05,Chiang Mai,78.32549019607843,0.6005590792768575,0.1998662981818312
2018-05,Mae Hong Son,103.0,0.5752198797913142,0.19574044503763485
2018-05,Nan,85.24313725490197,0.5615512646580331,0.22664006365214068
2018-05,Uttaradit,77.0,0.5590954617600515,0.19938662183430494
2018-06,Chiang Mai,0.0,0.3571456058951231,0.19711641516460904
2018-06,Mae Hong Son,0.0,0.32782843622638097,0.20986324283529212
2018-06,Nan,0.0,0.3777635303233222,0.22189711573192422
2018-06,Uttaradit,6.0,0.502900912076331,0.22355733691827953
2018-07,Chiang Mai,0.0,0.2570172035767963,0.19242723229169018
2018-07,Mae Hong Son,11.0,0.16998080264687437,0.20168252889637592
2018-07,Nan,0.0,0.33755368415726833,0.19705848634029433
